"","estimate","SE","CI_025","CI_975","sig95"
"speciespinusLamberti:diam:tmean_Fert",-0.000995,0.00174,-0.00425,0.00264," "
"speciespinusMonticol:diam:tmean_Fert",-0.000186,0.00301,-0.00597,0.0059," "
"speciespinusPonderos:diam:tmean_Fert",-0.00686,0.00201,-0.0109,-0.00289,"*"
"speciespinusContorta:diam:ppt_Poll",-0.0105,0.00887,-0.0271,0.0065," "
"speciespinusJeffreyi:diam:ppt_Poll",0.000759,0.00399,-0.00711,0.00859," "
"speciespinusLamberti:diam:ppt_Poll",-0.00145,0.0023,-0.00608,0.00286," "
"speciespinusMonticol:diam:ppt_Poll",0.00144,0.00277,-0.00409,0.00688," "
"speciespinusPonderos:diam:ppt_Poll",-0.00319,0.00248,-0.0079,0.00168," "
"speciespinusContorta:diam:ppt_Fert",-0.00622,0.00907,-0.0239,0.0116," "
"speciespinusJeffreyi:diam:ppt_Fert",0.00499,0.00357,-0.00191,0.012," "
"speciespinusLamberti:diam:ppt_Fert",-0.00265,0.00179,-0.00608,0.000982," "
"speciespinusMonticol:diam:ppt_Fert",-0.00216,0.00246,-0.00707,0.00267," "
"speciespinusPonderos:diam:ppt_Fert",0.0016,0.00227,-0.003,0.00587," "
