"","estimate","SE","CI_025","CI_975","sig95"
"speciesabiesConcolor:I(precip_PollFert^2)",0.111,0.0131,0.0861,0.137,"*"
"speciesabiesGrandis:I(precip_PollFert^2)",0,0,0,0," "
"speciesabiesLasiocar:I(precip_PollFert^2)",0,0,0,0," "
"speciesabiesMagnific:I(precip_PollFert^2)",0.0841,0.0225,0.0405,0.128,"*"
"speciesabiesProcera:I(precip_PollFert^2)",0,0,0,0," "
"speciesabiesAmabilis:diam:precip_budInit",0.274,0.00316,0.266,0.279,"*"
"speciesabiesConcolor:diam:precip_budInit",-0.00202,0.000907,-0.00386,-0.000271,"*"
"speciesabiesGrandis:diam:precip_budInit",0,0,0,0," "
"speciesabiesLasiocar:diam:precip_budInit",-0.0085,0.0347,-0.0748,0.0584," "
"speciesabiesMagnific:diam:precip_budInit",-0.00227,0.00106,-0.00427,-0.00018,"*"
"speciesabiesProcera:diam:precip_budInit",0,0,0,0," "
"speciesabiesAmabilis:diam:temp_budInit",0.00639,0.00142,0.00361,0.0092,"*"
"speciesabiesConcolor:diam:temp_budInit",-0.00309,0.000547,-0.00416,-0.00202,"*"
"speciesabiesGrandis:diam:temp_budInit",0.0032,0.0179,-0.0315,0.0395," "
"speciesabiesLasiocar:diam:temp_budInit",0.00138,0.0492,-0.093,0.0966," "
"speciesabiesMagnific:diam:temp_budInit",-0.00213,0.000701,-0.00349,-0.000764,"*"
"speciesabiesProcera:diam:temp_budInit",-0.0504,0.0384,-0.122,0.0286," "
"speciesabiesAmabilis:diam:tmean_Poll",0.0332,0.00704,0.0192,0.0469,"*"
"speciesabiesConcolor:diam:tmean_Poll",-0.00971,0.000911,-0.0114,-0.00777,"*"
"speciesabiesGrandis:diam:tmean_Poll",0,0,0,0," "
"speciesabiesLasiocar:diam:tmean_Poll",0.0159,0.11,-0.202,0.232," "
"speciesabiesMagnific:diam:tmean_Poll",-0.007,0.00101,-0.00893,-0.00512,"*"
"speciesabiesProcera:diam:tmean_Poll",0,0,0,0," "
"speciesabiesAmabilis:diam:tmean_Fert",-0.013,0.0078,-0.0284,0.0021," "
"speciesabiesConcolor:diam:tmean_Fert",0.00597,0.000967,0.0039,0.00769,"*"
"speciesabiesGrandis:diam:tmean_Fert",0,0,0,0," "
"speciesabiesLasiocar:diam:tmean_Fert",0,0,0,0," "
"speciesabiesMagnific:diam:tmean_Fert",0.00689,0.00111,0.00467,0.00895,"*"
"speciesabiesProcera:diam:tmean_Fert",0,0,0,0," "
"speciesabiesAmabilis:diam:precip_PollFert",-0.272,0.00297,-0.275,-0.263,"*"
"speciesabiesConcolor:diam:precip_PollFert",0.00314,0.000934,0.00138,0.00499,"*"
"speciesabiesGrandis:diam:precip_PollFert",0,0,0,0," "
"speciesabiesLasiocar:diam:precip_PollFert",0,0,0,0," "
"speciesabiesMagnific:diam:precip_PollFert",0.00514,0.00109,0.00296,0.00728,"*"
"speciesabiesProcera:diam:precip_PollFert",0,0,0,0," "
